sentiment, sentence
2,Probably worth it to spend a little extra money and get a nicer keyboard/mouse
3,"Sometimes when I'm typing, it doesn't show on the ..."
5,I love this eye gel
2,This is one mouse my cats can have
2,Functionality
4,should i buy this?
5,I Saw Results After 3 Uses
5,I Saw Results After 3 Uses
5,I Saw Results After 3 Uses
1,doesnt work
3,"It's an alright mouse, the mouse wheel though broke ..."
5,Love these lights!
3,"Designed to Inspire the Shareholder, not End User - Compairsons with K340 Keyboard, MX Anywhere and MS 3500 Mouse"
4,"The phone works fine, also adding the fast delivery"
1,Its so bad. I ordered the Microsoft Wireless Comfort Desktop 5000 ...
1,"Random keystroke delays, cheap build quality"
3,Starting to hate Amazon on the fact that every time I buy ...
2,The worst problem with computer mouses that I encounter: Scroll Wheel Broken
5,"If you need new tips for your QC20 headphones, only go with these correct ones that are the same as original equipment"
2,meh
2,probably best for smaller school age kids
3,Okay
3,Okay
3,Right Click Issues
2,Pretty and Soundless
3,I hates meeses to pieces.
2,Refuses to seal down one side. Not great.
3,Not a bad product for the price range.
3,Economical in every way.
3,The dongle died. I had to order a new ...
1,Not even close to worth it
3,the mouse is quite nice.
3,Not the best range. I have a Logitech K400 for my ...
1,"Its NOT Compatible With Mac, Like Some of the Reviews and Question Replies Claim -- It Crashed"" My Mac Mini!!"""
2,"Buyer beware with refurbs"""
3,Batteries last and otherwise a good wireless mouse/keyboard combo
5,Perrrrrfect
5,Worth every penny
1,Pretty bad.
1,Awful!!!
1,"Cheap can be good, but the keys would all have to work..."
1,Keyboard fails regularly
2,Great for the early adopters but not for the faint of heart
1,Not a happy customer complete waste of money
1,Caused computer problems when usb's were plugged in
2,I liked the features it offered if I was only able ...
3,"It's OK, You Get What You Pay For"
5,Fast and good quality!
5,Would Recommend
2,I wi be returning this garbage asap.
3,"Small, but disappointing change to MK270 Wireless Keyboard/Mouse Combo."
1,has always freezed up and feels like a
1,You don't get all that you paid for.
3,It's OK
5,Excellent value!
5,Good product and value for monet
5,Great quality and perfect for their retirement trailer they bought ...
5,Bang for your buck
1,NOT MUCH OF A WIRELESS DEVICE.  NO RANGE!!!!!
2,Pretty sh%^^y overall
5,Arrived in good time. Unfortunately
5,Good tough case
2,It works fine with HDMI
3,Decent Mouse for the Money
3,It just works. As it is supposed to. Three stars because I do not 'like' or 'love' cables.
3,Not reliable for me
5,Nice phone without spyware
5,A Good Buy!
3,Wire problems
2,"It works, I guess"
4,but other than that i'm am pleased with it
1,I would like to return the item but I think the time ...
4,Works perfectly
1,"Looks good, but lasted two days."
3,"Great keyboard, small mouse!"
1,Did not work.
5,Excellent value.  Great phone.
1,Not happy with this product as it does not even fit ...
5,Fantastic sound from such a well priced product!
2,There are MUCH better options for a similar price.
2,the mouse came and it was in a nice box and felt nice then I plugged it in ...
1,Keyboard Intermittently Fails to Register Keystrokes
1,It's nicely made and feels good but the mouse constantly drops ...
1,"The mouse works fine, but the keyboard seems to have an awful ..."
3,But the colors and comfort is amazing. Wire feels sturdy
5,Reliable Retailer.
1,Worst phone case ever!
1,Overpriced Nitelite
3,but the keyboard is great
4,nice and solid cable
3,Quality 101
5,Great little gadget and excellent quality
1,As low quality as money can buy. Keyboard often ...
5,iPhone 6!!
5,Works fine does everything he
4,Good but...
3,I LOVED this mouse when I first bought it a year ...
5,easy to use solution
1,problem with mouse scrolling
1,"Used for gaming about 9 days, right mouse button is shot."
1,nah
3,I expected wireless to be a little bit worse but this is pretty unusable for me
5,Very pleased with the iphone
2,Some keys stopped working after 6 months
1,Bent on arrival
1,Ok so I got th phone yesterday & It worked ...
2,Average
3,Great monitor otherwise though
1,It is a waste of time
1,"Great mouse, love the feel"
1,The mouse seems to run out of energy and stops working when in constant use like playing a game
2,He loves wired headphones with a great beat. Well they broke apparently the first week ...
5,Top case
1,Cheap but not great
1,Disappointed in Logitech Wireless Combo MK270
5,Correct cable
1,"Phone is great, BUT the battery on this refurbished phone will ..."
2,"Poor connection, keyboard freezes and keys stop working."
1,Didn't work out of box
1,If you enjoy laggy input and bursts of text appearing after you typed seconds ago... this is the keyboard for you.
4,"Does the job, but cut out isn't centre on the back!"
1,they suck. The day I got my iPhone 6 it ...
5,Amazing product
5,Amazing product
5,Great looking phone case.
4,Sound quality is amazing. Great fit
2,"Interesting colors, but this mouse will kill you (in a game)"
5,works amazing. came in very high quality in a new ...
5,these are great. I am a fanatic for lights in the ...
1,faulty keyboard
3,"IPhone 6 not 6s, But Nice Quality."
1,Beautiful monitor died 79 days later
1,Annoying colors don't stand still
5,Iphone 6: 16gb : Gold
1,Bait and switch.
5,"Durable and good looking Case, easy to install and remove."
5,They work!
3,... mouse actually just broke today and i am very disappointed in this situation
5,Excellent condition!
2,The battery of the phone was shutting down when turning ...
1,... phones and already lifting from screens at the edges disappointed
5,The phone arrived on time and was in perfect condition. Not a scratch anywhere
1,Not up to date older basic
4,switching to an iPhone with full coverage insurance
2,Logitech touts 'Reliable connection'. Forgot the 'Un' prefix.
5,Great Deal!
5,I have the onyx4 speaker and it truly fits like a glove
5,All Good
5,If you are budget minded and want a nice unlocked phone for a pay as you go or no contract plan this is the ticket!
2,Build quality may vary.
2,First impression (had for 4 hours) not so good..
5,Very happy with this phone
4,Beautiful charger
2,after using these monitor for little over a year both ...
1,Do not waste your money
5,Hard Case for Wonderboom Speaker
1,the wrong version of the MK270
1,joke
3,Contrast ratio
3,Its snug but not too tight and with regards to the protection we have to just wait and see if it keeps the phone in good condition.
5,Great Value for Money !!!
1,Not happy.
1,Unusable
1,Pointer on screen moved on it's own
5,it works and charges fast
5,A immaculate phone
5,they are amazing. Really smooth rich bass (not overpowered as I ...
5,Great Purchase
1,"Dont be reconditioned phones, they are all broken"
1,Not recommended!
1,Whats to like....nothing!
4,Works great
3,Cheap mouse is cheap.
1,Faulty Touchscreen
4,it was cosmetically good too.
2,Stopped Working
2,beware. this prouduct may not be what you need.
4,It seems very well made for the money and looks good when fitted
1,Worst Mouse I Have Ever Bought
1,"I ordered these, but it doesn’t work. It ..."
4,nice lights
2,Quit Working After 6 Months...
4,great for the price!!
5,Brilliant earphones.
1,This product was giving me problems lately. Every time ...
5,... but once i recived the phone i was so happy because i came it perfect condition i dont usually ...
1,Mouse doesn’t work but keyboard is fine so now I have 2 USB ports used - ...
1,Dont buy it!!
3,The mouse does not reconnect after waking the computer up ...
5,5star cables
5,Great stuff
5,looks like a better deal to me compred to other products ...
2,connectivity issues
5,Best screen protector easy to fitting
5,Wireless whimsy ♡
5,cheaper
3,Not sure yet if I like the product
4,Good size for a 50 years old viewing condition
2,Bought the phone to listen to music in the car ...
1,Have got a asus monitor and dell latitude laptop. ...
1,... it still does not work and when it feels like working it stops in 2 minutes is it compatible ...
1,"Stop working after two weeks, charger cord damaged other stuff"
2,It works good for the most part and is nice and simple ...
3,Good product. Works great
5,Top of the line for comfort
2,Was I just unlucky..?
1,This is a piece of @€%#. It works for ...
1,DATA DOESNT WORK AND CAME WITH BROKEN SCREEN
3,Keyboard needs improvement
2,"Good mouse, just didn't last long."
5,One very Happy Customer
1,"Practically useless, very sticky scroll button"
1,This phone freezes a lot and the battery runs low ...
5,10/10
5,10/10
1,ITS NOT UNLOCKED!
3,question on length
1,Bad Investment
3,Not a fan of the hot keys
4,I have had this phone for the past 2 years and it has stayed in great condition. While I have dropped my phone several ...
1,Worked well for a month...
4,This phone is cool. Battery life drops fast
